取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
000220170401002031186,2017/04/01,16:03:42,100,100,7,100,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00020020",0002,"中山 洋子","お土産","折100","","",100,1,0,0,-,0,FFBF3AD0D0BD42E2A787250CD0EDF86E,"未設定"
000220170401161151125,2017/04/01,16:11:57,100,100,7,100,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00020022",0002,"中山 洋子","お土産","折100","","",100,1,0,0,-,0,82CA915371EA48819B07FFFB00266E47,"未設定"
000220170401161833951,2017/04/01,16:34:45,5116,4800,378,6000,0,0,0,0,0,0,0,0,884,0,0,1,3,00:00:00,"伝票00020024",0002,"中山 洋子","にぎり","おまかせにぎり","","",2600,1,0,0,-,0,9B333FC0CDA944258A89B56A0088948E,"未設定"
000220170401161833951,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","上にぎり","","",1350,1,0,0,-,0,9B333FC0CDA944258A89B56A0088948E,
000220170401161833951,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","マグロ三種にぎり","","",850,1,0,0,-,0,9B333FC0CDA944258A89B56A0088948E,
RB0120170401164843000,2017/04/01,16:50:31,6140,5730,454,7000,0,0,0,0,0,0,0,0,860,0,-2,1,6,00:01:48,"カウンター3",0002,"中山 洋子","にぎり","おまかせにぎり","","",2600,1,0,0,-,0,91B75221A7884BA2BD0AA729E456961D,"未設定"
RB0120170401164843000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","特上にぎり","","",1850,1,0,0,-,0,91B75221A7884BA2BD0AA729E456961D,
RB0120170401164843000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","グラス生","","",350,2,0,0,-,0,91B75221A7884BA2BD0AA729E456961D,
RB0120170401164843000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","手巻330","","",330,1,0,0,-,0,91B75221A7884BA2BD0AA729E456961D,
RB0120170401164843000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,1,0,0,-,0,91B75221A7884BA2BD0AA729E456961D,
000220170401165125551,2017/04/01,16:51:32,2808,2600,208,2808,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00020026",0002,"中山 洋子","にぎり","おまかせにぎり","","",2600,1,0,0,-,0,854DC295DF344AB691068ADD5FF77376,"未設定"
000220170401165418705,2017/04/01,16:54:25,2808,2600,208,2808,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00020028",0002,"中山 洋子","にぎり","おまかせにぎり","","",2600,1,0,0,-,0,74C1B66F2B25429DBD843C20C7CE683F,"未設定"
RB0120170401170433000,2017/04/01,17:05:21,3650,3450,270,0,0,0,0,0,0,0,0,3650,0,0,-8,1,2,00:00:48,"カウンター4",0002,"中山 洋子","にぎり","おまかせにぎり","","",2600,1,0,0,-,0,665AFF55E0EA4BCB9A0E88283BC5C186,"未設定"
RB0120170401170433000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","マグロ三種にぎり","","",850,1,0,0,-,0,665AFF55E0EA4BCB9A0E88283BC5C186,
000220170401170840088,2017/04/01,17:47:05,4670,4350,345,5000,0,0,0,0,0,0,0,0,330,0,-4,1,6,00:00:00,"伝票00020029",0002,"中山 洋子","にぎり","上にぎり","","",1350,3,0,0,-,0,1BD6879242634DC98C4FAADF637B69B8,"未設定"
000220170401170840088,,,,,,,,,,,,,,,,,,,,,,,,"お土産","折100","","",100,3,0,0,-,0,1BD6879242634DC98C4FAADF637B69B8,
RB0120170401171528000,2017/04/01,18:13:02,6100,5730,451,10100,0,0,0,0,0,0,0,0,4000,0,-3,2,14,00:57:34,"カウンター14，カウンター15",0002,"中山 洋子","揚げ物・煮物","あさり酒煮し","","",650,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,"未設定"
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","アサヒ中瓶","","",500,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,2,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","手巻330","","",330,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","おすすめ日本酒","","",680,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","八海山 本醸造","","",680,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",900,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",500,1,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401171528000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,FC985361F7B44D7C974C73C2D38051C2,
RB0120170401174847000,2017/04/01,18:36:13,11430,10840,846,11530,0,0,0,0,0,0,0,0,100,0,-7,2,24,00:47:25,"カウンター6，カウンター7",0002,"中山 洋子","焼き物","焼はまぐり","","",650,1,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,"未設定"
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","レンコンはさみ揚","","",650,1,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","天婦羅盛","","",1200,1,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","茶碗蒸し","","",500,1,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","グラス生","","",350,1,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,1,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"焼酎グラス","黒伊佐錦        ","","",550,2,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,3,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,3,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,2,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,2,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","八海山 本醸造","","",680,2,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のおすすめ","","",780,1,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
RB0120170401174847000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,1,0,0,-,0,762D19BBDB774552BDA059C115E5DEEC,
