取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),交通系電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
000220170801185715062,2017/08/01,18:57:24,900,900,66,0,0,0,0,0,0,0,0,900,0,0,0,1,1,00:00:00,"伝票00020336",0002,"中山","出前","コスモ","","",900,1,0,0,-,0,84E5AF344013434B85CAF926F42DD4D7,"未設定"
RB0120170801193951000,2017/08/01,19:50:54,7160,6960,530,10160,0,0,0,0,0,0,0,0,3000,0,-9,2,28,00:11:03,"カウンター4，カウンター5",0002,"中山","焼き物","イカうに焼","","",780,1,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,"未設定"
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","エビス中瓶","","",580,1,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,6,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,6,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,3,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,2,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,2,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,2,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","手巻220","","",220,2,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","エクストラゴールド","","",500,1,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801193951000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,8FEE3A00922C4BDBA59236B632DD9D53,
RB0120170801183017000,2017/08/01,19:55:55,22910,21770,1697,0,0,0,0,0,0,0,0,22910,0,0,-5,4,46,01:25:38,"テーブル3",0002,"中山","お造り","貝盛","","",2900,1,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,"未設定"
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","中トロ刺","","",1800,1,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","大エビ塩焼","","",1200,1,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","げそ磯辺揚","","",650,1,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","特上にぎり","","",1850,1,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","茶碗蒸し","","",500,2,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,5,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,7,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,1,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,3,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,3,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,4,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,4,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"焼酎ボトル","ジンロ","","",1500,1,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"割り物","割り物&BS","","",380,5,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お土産","折100","","",100,1,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,4,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183017000,,,,,,,,,,,,,,,,,,,,,,,,"お土産","保冷剤","","",200,1,0,0,-,0,F2D37EC87021445E9B17A8FEE6AD8139,
RB0120170801183022000,2017/08/01,20:03:49,39000,39000,2888,39000,0,0,0,0,0,0,0,0,0,0,0,6,12,01:33:27,"テーブル5，テーブル6",0002,"中山","コース","接待コース","","",5000,6,0,0,-,0,E2F57AEF35E84DC880F1EBD362CB38D7,"未設定"
RB0120170801183022000,,,,,,,,,,,,,,,,,,,,,,,,"コース","飲み放題1500","","",1500,6,0,0,-,0,E2F57AEF35E84DC880F1EBD362CB38D7,
RB0120170801194009000,2017/08/01,20:22:25,8530,8200,631,10000,0,0,0,0,0,0,0,0,1470,0,-1,2,26,00:42:16,"カウンター10，カウンター11",0002,"中山","焼き物","穴子白焼","","",1200,1,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,"未設定"
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","レンコンはさみ揚","","",650,1,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","ウーロン茶","","",250,1,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,3,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,10,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,1,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,4,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,1,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","エクストラゴールド","","",500,1,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801194009000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","本日のおすすめ","","",780,1,0,0,-,0,61A7880BA8914B6E8971B63EFA4E46C2,
RB0120170801184021000,2017/08/01,20:33:28,13520,12780,1001,0,0,0,0,0,0,0,0,13520,0,0,-8,2,28,01:53:06,"カウンター14，カウンター15",0002,"中山","焼き物","かきバター焼","","",780,1,0,0,-,0,6BBE1A66DF354E9B8449C8D6DDF5BAE3,"未設定"
RB0120170801184021000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,2,0,0,-,0,6BBE1A66DF354E9B8449C8D6DDF5BAE3,
RB0120170801184021000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,4,0,0,-,0,6BBE1A66DF354E9B8449C8D6DDF5BAE3,
RB0120170801184021000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,4,0,0,-,0,6BBE1A66DF354E9B8449C8D6DDF5BAE3,
RB0120170801184021000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,6BBE1A66DF354E9B8449C8D6DDF5BAE3,
RB0120170801184021000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,4,0,0,-,0,6BBE1A66DF354E9B8449C8D6DDF5BAE3,
RB0120170801184021000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,2,0,0,-,0,6BBE1A66DF354E9B8449C8D6DDF5BAE3,
