取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),交通系電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
000920170801040655616,2017/08/01,17:17:56,3000,3000,222,3000,0,0,0,0,0,0,0,0,0,0,0,1,2,00:00:00,"伝票00090455",0009,"堀田 恵美","出前","出前(鉄火丼)","","",1500,2,0,0,-,0,F8C998BC460E4106828BB3E889F74B53,"未設定"
RB0820170801174444000,2017/08/01,18:21:34,10860,10860,804,0,0,0,0,0,0,0,0,10860,0,0,0,2,11,00:36:49,"カウンター6，カウンター7",0009,"堀田 恵美","ビール","中生","","",560,4,0,0,-,0,10F84EFBEDA941488AF1340F05FD551A,"未設定"
RB0820170801174444000,,,,,,,,,,,,,,,,,,,,,,,,"サワー","サワー","","",420,1,0,0,-,0,10F84EFBEDA941488AF1340F05FD551A,
RB0820170801174444000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","おまかせ８貫","","",2700,2,0,0,-,0,10F84EFBEDA941488AF1340F05FD551A,
RB0820170801174444000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,2,0,0,-,0,10F84EFBEDA941488AF1340F05FD551A,
RB0820170801174444000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","岩牡蠣","","",970,2,0,0,-,0,10F84EFBEDA941488AF1340F05FD551A,
RB0820170801174642000,2017/08/01,18:35:25,4480,4480,331,5000,0,0,0,0,0,0,0,0,520,0,0,2,5,00:48:43,"座敷2",0009,"堀田 恵美","にぎり","上","","",1500,1,0,0,-,0,02CE4C1F8E37414BBA06BB763614B910,"未設定"
RB0820170801174642000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","中生","","",560,1,0,0,-,0,02CE4C1F8E37414BBA06BB763614B910,
RB0820170801174642000,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","ソフトドリンク","","",320,1,0,0,-,0,02CE4C1F8E37414BBA06BB763614B910,
RB0820170801174642000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,1,0,0,-,0,02CE4C1F8E37414BBA06BB763614B910,
RB0820170801174642000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","お好み","","",1670,1,0,0,-,0,02CE4C1F8E37414BBA06BB763614B910,
RB0820170801180242000,2017/08/01,19:19:36,17760,17760,1315,20000,0,0,0,0,0,0,0,0,2240,0,0,3,49,01:16:54,"カウンター4，カウンター5，カウンター6",0009,"堀田 恵美","焼き物","焼はまぐり","","",600,1,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,"未設定"
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","まぐろステーキ","","",1000,1,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","瓶ビール","","",650,3,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"ドリンクその他","セット","","",420,1,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"ドリンクその他","割り物","","",320,1,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"ドリンクその他","折","","",100,3,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり90","","",90,8,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり140","","",140,2,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり190","","",190,12,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,4,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり450","","",450,2,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻450","","",450,2,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,4,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","水なす","","",600,1,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日の刺盛り","","",1200,1,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日の刺盛り","","",1000,1,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日の刺盛り","","",850,1,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801180242000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日の刺盛り","","",800,1,0,0,-,0,E32A1C796E9540B5BB5CF779A564C31B,
RB0820170801192556000,2017/08/01,20:25:39,9390,9390,695,10000,0,0,0,0,0,0,0,0,610,0,0,2,10,00:59:42,"座敷2",0009,"堀田 恵美","お造り","真つぶ貝刺","","",1600,1,0,0,-,0,1237E17454B24F599E5F0A9E8F581DD0,"未設定"
RB0820170801192556000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","茶碗蒸し","","",600,1,0,0,-,0,1237E17454B24F599E5F0A9E8F581DD0,
RB0820170801192556000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","瓶ビール","","",650,1,0,0,-,0,1237E17454B24F599E5F0A9E8F581DD0,
RB0820170801192556000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","おまかせ８貫","","",2700,1,0,0,-,0,1237E17454B24F599E5F0A9E8F581DD0,
RB0820170801192556000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,2,0,0,-,0,1237E17454B24F599E5F0A9E8F581DD0,
RB0820170801192556000,,,,,,,,,,,,,,,,,,,,,,,,"果実酒","梅酒","","",420,1,0,0,-,0,1237E17454B24F599E5F0A9E8F581DD0,
RB0820170801192556000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","お好み","","",620,1,0,0,-,0,1237E17454B24F599E5F0A9E8F581DD0,
RB0820170801192556000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","岩牡蠣","","",970,2,0,0,-,0,1237E17454B24F599E5F0A9E8F581DD0,
RB0820170801193012000,2017/08/01,20:34:37,12320,12120,912,15000,0,0,0,0,0,0,0,0,2680,0,0,3,9,01:04:25,"テーブル6",0009,"堀田 恵美","にぎり","おまかせ10貫","","",3240,1,0,0,-,0,936972F3EE7B49209EFF4901B849BDCF,"未設定"
RB0820170801193012000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","焼たらば","","",2500,1,0,0,-,0,936972F3EE7B49209EFF4901B849BDCF,
RB0820170801193012000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物","天婦羅盛り合せ","","",1300,1,0,0,-,0,936972F3EE7B49209EFF4901B849BDCF,
RB0820170801193012000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","茶碗蒸し","","",600,2,0,0,-,0,936972F3EE7B49209EFF4901B849BDCF,
RB0820170801193012000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","お好み","","",1080,1,0,0,-,0,936972F3EE7B49209EFF4901B849BDCF,
RB0820170801193012000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","岩牡蠣","","",970,2,0,0,-,0,936972F3EE7B49209EFF4901B849BDCF,
RB0820170801193012000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","カレイの昆布締め","","",860,1,0,0,-,0,936972F3EE7B49209EFF4901B849BDCF,
