取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),交通系電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
RB0420180201182446000,2018/02/01,19:32:58,8000,8000,592,10000,0,0,0,0,0,0,0,0,2000,0,0,2,6,01:08:12,"テーブル5",0003,"堀田 恵美","にぎり","おまかせ10貫","","",3240,1,0,0,-,0,77A66D34B1D24C8AA1401E17FD00E831,"未設定"
RB0420180201182446000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","おまかせ８貫","","",2700,1,0,0,-,0,77A66D34B1D24C8AA1401E17FD00E831,
RB0420180201182446000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,2,0,0,-,0,77A66D34B1D24C8AA1401E17FD00E831,
RB0420180201182446000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","中生","","",600,2,0,0,-,0,77A66D34B1D24C8AA1401E17FD00E831,
000320180201194403566,2018/02/01,19:44:40,6400,6400,474,6400,0,0,0,0,0,0,0,0,0,0,0,1,4,00:00:00,"伝票00030220",0003,"堀田 恵美","出前","出前(上にぎり)","","",1600,4,0,0,-,0,BC1785EE1E2045729F7B415D3C6E5516,"未設定"
RB0420180201183630000,2018/02/01,19:50:28,12030,12030,891,0,0,0,0,0,0,0,0,12030,0,0,0,4,16,01:13:57,"座敷3",0003,"堀田 恵美","にぎり","特上握り","","",1990,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,"未設定"
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","マグロ刺身","","",700,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","いわし刺","","",640,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物","桜えびかき揚げ","","",810,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,3,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"サラダ","シーフードサラダ","ノーマルサイズ","",950,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","中生","","",600,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","小生","","",490,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","燗酒(1合)","","",490,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","天狗舞","","",850,2,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"本日のおすすめ","本日のおすすめ","","",750,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","お好み","","",760,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201183630000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物","アスパラ天婦羅","","",860,1,0,0,-,0,DE76C5AA0CED46389E0C3FA039DFFBEF,
RB0420180201185354000,2018/02/01,20:19:24,16030,16030,1187,20030,0,0,0,0,0,0,0,0,4000,0,0,3,23,01:25:30,"カウンター7，カウンター8，カウンター9",0003,"堀田 恵美","汁物","岩のり汁","","",370,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,"未設定"
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","和牛ロース焼","","",1180,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物","キス天婦羅","","",750,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,2,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"割り物","セット","","",420,2,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"割り物","割り物","","",320,2,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"焼酎","不知火ボトル","","",4750,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"サワー","生グレープフルーツ","","",600,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"本日のおすすめ","本日のおすすめ","","",970,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり140","","",140,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり230","","",230,2,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり300","","",300,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり400","","",400,3,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻260","","",260,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"本日のおすすめ","ぶり刺し","","",1200,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"本日のおすすめ","なまこ酢","","",650,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201185354000,,,,,,,,,,,,,,,,,,,,,,,,"本日のおすすめ","さより刺","","",860,1,0,0,-,0,23B5DF2EEB8B44B88A5BC41DD665CE08,
RB0420180201183044000,2018/02/01,20:26:18,9550,9550,707,0,0,0,0,0,0,0,0,9550,0,0,0,2,14,01:55:34,"テーブル6",0003,"堀田 恵美","汁物","岩のり汁","","",370,1,0,0,-,0,F8C6B7ECC8FE423E9014D45FAB8066F2,"未設定"
RB0420180201183044000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物","レンコンはさみ揚げ","","",860,1,0,0,-,0,F8C6B7ECC8FE423E9014D45FAB8066F2,
RB0420180201183044000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,1,0,0,-,0,F8C6B7ECC8FE423E9014D45FAB8066F2,
RB0420180201183044000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","中生","","",600,1,0,0,-,0,F8C6B7ECC8FE423E9014D45FAB8066F2,
RB0420180201183044000,,,,,,,,,,,,,,,,,,,,,,,,"焼酎","黒霧島","","",550,4,0,0,-,0,F8C6B7ECC8FE423E9014D45FAB8066F2,
RB0420180201183044000,,,,,,,,,,,,,,,,,,,,,,,,"ワイン","グラスワイン赤白","","",430,1,0,0,-,0,F8C6B7ECC8FE423E9014D45FAB8066F2,
RB0420180201183044000,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","ソフトドリンク","","",340,3,0,0,-,0,F8C6B7ECC8FE423E9014D45FAB8066F2,
RB0420180201183044000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","お好み","","",1700,1,0,0,-,0,F8C6B7ECC8FE423E9014D45FAB8066F2,
RB0420180201183044000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のおまかせ刺盛(1人前)","","",1940,1,0,0,-,0,F8C6B7ECC8FE423E9014D45FAB8066F2,
RB0420180201185922000,2018/02/01,20:30:48,21670,21670,1605,0,0,0,0,0,0,0,0,21670,0,0,0,3,26,01:31:25,"座敷4",0003,"堀田 恵美","お造り","マグロ刺身","","",700,1,0,0,-,0,0009C5413B4F41278F78E3E29B425E6E,"未設定"
RB0420180201185922000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","しまあじ刺","","",1080,1,0,0,-,0,0009C5413B4F41278F78E3E29B425E6E,
RB0420180201185922000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","〆さば刺","","",970,1,0,0,-,0,0009C5413B4F41278F78E3E29B425E6E,
RB0420180201185922000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","銀ダラ照り焼","","",1350,2,0,0,-,0,0009C5413B4F41278F78E3E29B425E6E,
