取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),交通系電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
000420180201182547959,2018/02/01,18:25:57,900,900,66,0,0,0,0,0,0,0,0,900,0,0,0,1,1,00:00:00,"伝票00040584",0004,"周","出前","コスモ","","",900,1,0,0,-,0,7C2C8995E0C34B66894872EB01B0C24E,"未設定"
RB0220180201181738000,2018/02/01,19:06:57,12780,12550,946,13000,0,0,0,0,0,0,0,0,220,0,-6,3,53,00:49:19,"テーブル6",0004,"周","にぎり","イカ三種にぎり","","",400,1,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,"未設定"
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,2,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,14,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,11,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,7,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,4,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,3,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,2,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻450","","",450,1,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,1,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","岩のり汁","","",280,1,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,3,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"速一品","お通し","","",380,1,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","カルピス","","",350,1,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
RB0220180201181738000,,,,,,,,,,,,,,,,,,,,,,,,"デザート","マンゴー&バニラアイス","","",450,1,0,0,-,0,10E263D9CDFF4882A649B3D7D95A5DC7,
000420180201192956339,2018/02/01,19:30:05,5000,5000,370,5000,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00040585",0004,"周","出前","出前5000","","",5000,1,0,0,-,0,D6BA0B9754214292BD033C7A7029B292,"未設定"
RB0120180201180004000,2018/02/01,19:55:59,10760,10140,797,0,0,0,0,0,0,0,0,10760,0,0,-8,2,25,01:55:55,"テーブル3",0004,"中山","お好みにぎり","にぎり80","","",80,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,"未設定"
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,5,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,2,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","手巻330","","",330,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","かきバター焼","","",780,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物","たこ唐揚","","",650,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"サラダ","シーフードサラダ","","",880,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","グラス生","","",350,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","エクストラゴールド","","",500,2,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"速一品","お通し","","",380,2,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","八海山 純米吟醸","","",980,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","おすすめ日本酒","","",680,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","ウーロンハイ","","",380,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",800,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201180004000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",600,1,0,0,-,0,F6CAC5987104498DA9F6FAB5C0E0E0BA,
RB0120180201173041000,2018/02/01,20:02:47,12390,11610,917,13000,0,0,0,0,0,0,0,0,610,0,-8,2,15,02:32:06,"テーブル2",0004,"中山","お造り","おまかせ刺身盛","","",3000,1,0,0,-,0,D873A07C567849168C165A0B1E7CDE71,"未設定"
RB0120180201173041000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻450","","",450,1,0,0,-,0,D873A07C567849168C165A0B1E7CDE71,
RB0120180201173041000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,2,0,0,-,0,D873A07C567849168C165A0B1E7CDE71,
RB0120180201173041000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","アサヒ中瓶","","",500,1,0,0,-,0,D873A07C567849168C165A0B1E7CDE71,
RB0120180201173041000,,,,,,,,,,,,,,,,,,,,,,,,"速一品","お通し","","",380,2,0,0,-,0,D873A07C567849168C165A0B1E7CDE71,
RB0120180201173041000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","梅干しサワー","","",580,1,0,0,-,0,D873A07C567849168C165A0B1E7CDE71,
RB0120180201173041000,,,,,,,,,,,,,,,,,,,,,,,,"焼酎ボトル","いいちこ","","",2300,1,0,0,-,0,D873A07C567849168C165A0B1E7CDE71,
RB0120180201173041000,,,,,,,,,,,,,,,,,,,,,,,,"割り物","割り物&BS","","",380,4,0,0,-,0,D873A07C567849168C165A0B1E7CDE71,
RB0120180201173041000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",600,2,0,0,-,0,D873A07C567849168C165A0B1E7CDE71,
RB0120180201193026000,2018/02/01,20:15:08,6520,6150,482,10020,0,0,0,0,0,0,0,0,3500,0,-1,3,15,00:44:42,"テーブル6",0004,"中山","お造り","イカ三点盛り","","",800,1,0,0,-,0,D3FDBDF505114CADB7F751DE1D3A2D9F,"未設定"
RB0120180201193026000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","ばくだん納豆","","",1000,1,0,0,-,0,D3FDBDF505114CADB7F751DE1D3A2D9F,
RB0120180201193026000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","エビ天サラダロール","","",400,1,0,0,-,0,D3FDBDF505114CADB7F751DE1D3A2D9F,
RB0120180201193026000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,2,0,0,-,0,D3FDBDF505114CADB7F751DE1D3A2D9F,
RB0120180201193026000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,2,0,0,-,0,D3FDBDF505114CADB7F751DE1D3A2D9F,
RB0120180201193026000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,D3FDBDF505114CADB7F751DE1D3A2D9F,
RB0120180201193026000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,1,0,0,-,0,D3FDBDF505114CADB7F751DE1D3A2D9F,
RB0120180201193026000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","岩のり汁","","",280,2,0,0,-,0,D3FDBDF505114CADB7F751DE1D3A2D9F,
RB0120180201193026000,,,,,,,,,,,,,,,,,,,,,,,,"煮物","銀ダラ煮付","","",1000,1,0,0,-,0,D3FDBDF505114CADB7F751DE1D3A2D9F,
